,description,fintech
143,"Founded in 2014 in Singapore by a team of professionals with strong business and technology expertise within the banking and finance industry, Aleta Planet is at the forefront of facilitating cross border payments to and from China. It specialises in end-to-end technology solutions for financial institutions and corporates. Aleta Planet provides payment services regulated under the Payment Services Act, governed by the Monetary Authority of Singapore. It focuses on a client-specific, solutions-oriented approach and has successfully delivered leading-edge technology solutions.",1
1819,"Portillo’s serves iconic Chicago street food through high-energy, multichannel restaurants designed to ignite the senses and create a memorable dining experience. Since our founding in 1963 in a small trailer which Dick Portillo called “The Dog House,” Portillo’s has grown to become a treasured brand with a passionate (some might say obsessed) nationwide following.",0
1791,"Roost is a Sunnyvale, CA-based developer of smart home technology, They seek to bring smart home functionality to users through using one-step retrofitting of existing household products to provide affordable upgrades. The team at Roost is working to approach smart home technology in ways never seen before. They emphasize simplicity of installation and utilization of existing household products.",1
1416,Linkhub is the most sophisticated application for organizing your digital life.,1
94,Prosper is a peer-to-peer lending platform that offers personal loans and lines of credit.,1
224,Fintech company that provides free credit scores and reports to consumers.,1
1508,"Using blockchain and cloud technology, they pioneered Payments-as-a-Service to digitize and automate the entire cash lifecycle. Their software makes it possible to digitize receivables, automate processing, reduce time-to-cash, eliminate transaction fees,and enable new revenue.",1
475,"Asia Environmental Daily is the world's leading online newspaper covering environmental issues, environmental technologies and services, infrastructure development, clean energy, and environmental cleanup in the Asia-Pacific region. Based in New York City, and situated near the United Nations, the Asia Society, and the world's leading news and media organizations, Asia Environmental Daily is uniquely positioned to report on environmental developments impacting both Asia and the world.   First published in 2007, Asia Environmental Daily has developed an enviable reputation for authoritative, influential and independent reporting on the environmental issues in China, India, Southeast Asia, and throughout the Asia-Pacific region.  Available on mobile, tablets and online through asiaenvdaily.com, Asia Environmental Daily reaches a truly global audience with daily breaking news, analysis and opinions.  Asia Environmental Daily also publishes a variety of Special Reports and newsletters, and has a presence on various social media platforms, such as Facebook, Twitter, LinkedIn, Parler, and Tumblr. Asia Environmental Daily’s readership includes business leaders, CSR and sustainability officers, public sector agencies, government officials, scientists and academics, educators and students, natural resources management ministries, environmental activists, and general members of society who are concerned about the environment. Asia Environmental Daily reports on the industries that most impact the environmental development of Asia.  These include energy generation and transmission, clean air and water, transportation, natural resources management, waste management, food and agriculture, climate change, biodiversity, and CSR & sustainably.",0
2482,"Orbiseed's AI platform standardizes and summarizes commercial property data for risk engineers to sell more, reduce costs and manage risk better. We develop turnkey cloud-based solutions to automate repetitive reporting processes, so risk engineers and underwriters get more accurate data, quickly and affordably.",0
1518,"It offers a full range of individual and commercial banking products through more than 30 branches in the Carolinas, Georgia and Florida. In addition, its Small Business Finance division is one of the largest SBA lending operations in the country. ",1
2449,"Klar is a digital financial services platform allowing users to manage their money in a secure and personalized way from their smartphone. Using the Klar card rewards users with cash of up to 4% cashback for each purchase, not points without confusing conversions or expiration dates. Clients can also send and receive payments and collections money instantly to Klar accounts and otherbanks. The Klar card is linked to an app where users can see all their movements in real-time.",1
1389,"Cheap Car Insurance compared auto insurance rates in the city of San Diego CA to identify the cheapest insurers and the rates they offer. The car insurance rates vary for a driver age / driver sex but the biggest impact on costs is variability in companies quotes. Address: 309 W Washington St, San Diego, CA 92103, USA Timing: Mon - Sun : Open 24 hours",0
465,"Personal Capital is a free financial tracking tool that gives users insights into their net worth, asset allocation, and spending patterns.",1
590,"YNAB will connect to your bank, real-time sync across multiple devices, support with goal tracking and loan calculator",1
949,"Portal helps you impress your clients by turning around comprehensive, elegant proposals faster than ever. You'll spend zero time managing a product database so you can focus all your time on closing the deal.",1
2980,"We're changing the way we interact with politicians by fixing campaign finance.  Large organizations and special interest groups have taken control of politics and made us feel disconnected from the process.  We focus on allowing you to re-engage in politics and ensure that politicians are accountable to you (instead of special interest groups). Govrn enables people to take back the relationship by changing the way we engage in campaign finance.  We provided campaigns for outcome based donations, making sure your donation is used how you want it to be.  In other words, we take tools that large lobbying groups and PACs have and give them to everyone.",0
295,"Islamic bank where you can make your money related transactions with a mind at peace. Everything is transparent at insha and almost for free. Insha defends the core concept of Free Basic Banking Worldwide. We take the minimum possible commission for all our extra services,and we do it transparently.",1
1753,"Pneumax has become a worldwide market leader in the manufacture and supply of components for pneumatic automation. With its main production facilities in Lurano, Italy, the Pneumax organisation has seen significant growth in terms of size and turnover, with the Pneumax Holdings Group now controlling 19 companies.",0
2607,"Symlink specializes in developing software solutions for file encryption to make transmission paths and data storage safe and easy. Using Symlink's software, 2ndLock, files are encrypted on the end device of the user and can only be decrypted by individually addressed recipients. The type of transmission can be freely selected. Symlink is headquartered in Berlin, Germany.",0
1786,Peer-to-peer lending platform that supports instant microlending within communities ,1
2236,"Deployed across Global 2000 companies to dramatically reduce fraud, friction, threat and theft, BehavioSec verifies and protects human digital identities byunderstanding how we uniquely type and swipe across our ever-changing devices. Whether used in the Cloud or on-premises, BehavioSec delivers the superior user experience, precision and scale needed by organizations to keep customers engaged while catching evasive, real-time attacks other solutions miss.",1
1429,"Rupeek is a financial services company that features an online lending platform that specializes in credit risk, gold loans, and personal loans. It offers lending solutions for lenders and borrowers. The company is driven by its mission is to bring financial inclusion for the masses and introduce products that are transparent and people-friendly. Rupeek was founded in 2015 and headquartered in Bangalore, Karnataka.",1
606,"Lighter Capital is a fintech company that has created a new fundraising path for early-stage tech companies. Its transparent, data-driven process provides founders up to $2 million of non-dilutive growth capital in a fraction of the time it takes to raise from traditional sources. ",1
235,Wealthfront provides automated investment management and financial planning for people who want to grow their wealth.,1
630,"Wayflyer is a revenue-based financing platform for e-commerce brands. It provides fast and affordable funding to help grow businesses, without any of the com",1
1466,"Shareate manufactures mining drilling tools and provides mining services and cemented carbide products. The company also integrates R&D, manufacturing, sales, and services. Shareate was registered in Suzhou Industrial Park in August 2005 and has passed the double certification of API and ISO 9001 quality management system in 2008. It holds shares in Wuhan Shareate Carbide Tools, Qianjiang Shareate Cemented Carbide Tools, Australian-Shareate, Australian-AMS, American-AMS, TIMA (Suzhou) Precision Tools, and other branches and subsidiaries.",0
232,A1Supplements.com is an online supplement company specializing in sports nutrition and lifestyle supplements.,0
867,Nubreed Nutrition is a developer and distributor of branded sports and nutrition specialty supplements.,0
645,"Rubicon is a financial technology company in Albania engaged in providing financial solutions and developing a payment processing network. Rubicon leverages its proprietary technologies, intellectual property, innovative products and market intelligence to provide comprehensive and optimized financial solutions to its clients. ",1
837,"Stripe combines a payments platform with applications that put revenue data at the heart of business operations. We work with financial institutions, regulators, payment networks, banks, and consumer wallets so businesses who run on Stripe don’t have to.",1
918,"MEDGAS Technik is a manufacturer, distributor, installer and service provider of medical air and medical vacuum systems, pipeline equipment and medical supplies.",0
474,"Bond is an enterprise-grade financial technology platform streamlining the integration between brands and banks, dramatically reducing friction and creating a more repeatable model. Through its AI-powered infrastructure, Bond enables digital brands to better engage their customers by offering personalized and compliant banking products.",1
48,"Guangxi Guardian Machinery and became an innovation-level listed enterprise. The company is a mechanical processing and manufacturing service provider, mainly providing process design, R&D, and manufacturing services for core components for the internal combustion engine industry.",0
2895,"Krishnapatnam Port is a port with bulk shipping,freight shipping & cargo services.",0
466,"VP Operating is an oil and natural gas company that operates a crude oil and natural gas well and refinery. They handle every aspect of drilling, production, operations, and maintenance. It uses the latest technology such as 2D and 3D seismic surveys, subsurface mapping, electro telluric testing, and radio metrics imaging. The company also invests in domestic oil drilling and enjoy the substantial monthly cash flow that only investing in oil wells can provide. VP Operating was founded in 2013 and is headquartered in Denton, Texas, USA.",0
2765,"Based in San Francisco, California, Fit Pay develops a contactless payment platform based on wearable devices. The platform is led by payment industry professionals with over 20 years of payment platform and identity authentication domain experience. It uses NFC technology, combined with card network tokenization to interact with point-of-sale terminals at retail locations. The platform's  phone-less and app-less experience allows consumers to conduct secure, frictionless payment transactions. Founded in 2014, Fit Pay raises seed funding from the mobile security products company, Giesecke & Devrient with participation from Plug and Play.",1
794,"Wispri is a simple, effective way to keep track of sales and discounts. A one-of-a-kind service, it monitors the prices of specific products on your list, and sends you an alert when the price drops to your liking. Wispri is easy to use – all you do is enter a URL, sit back and wait for the price to drop. Wispri saves you the trouble of repeatedly checking for discount or sale prices by yourself.",0
228,Vertical Wellness is a vertically integrated consumer focused health and wellness brand company with innovative Hemp cannabinoid solutions.,0
2923,"Netroomz is Australian hospitality technology innovator.  Its team developed and launched first version of hotel online booking engine in 2004.  Since then its online distribution platform powered hundreds of hotel chains, OTAs, independent properties, holiday parks,  loyalty clubs, accommodation portals, etc. What sets Netroomz apart from many providers that followed is primary focus on technology and innovation. Since 2004 R&D team was constantly trying and introducing new features that put users of the platform ahead of the competing properties.  Suite of  rentable (SAAS or on premises  licensing) solutions includes internet booking engine, channel manager, promotion engine,  interfaces to PMSs and OTAs, loyalty club platform and predictive engine.",0
805,"Manni produces two products:  · Manni Satisfy is a camera that looks at customers in a fast food or retail store and measures how happy they are. It uses neural network technology.  · Manni Upsell is a small box with microphones that is placed where people check out in stores. It listens to employees, recognizes what they are saying, and measures their sales ability. This includes how often they are offering customers the option to purchase an additional item- an “upsale”. Each product uses facial and/or voice recognition to identify which employee is working at the time. This lets managers cross reference sales ability and customer satisfaction to specific employees. Each product includes two parts: the “devices” that are physically in the client’s store and an online interface that lets managers look at the generated data. These products are sold to retail stores, banks, auto dealers, restaurants, etc and are intended to increase sales and customer satisfaction.",0
2301,SamacSys has solved the decades-old problem of free access to high quality PCB library content for every component and every engineer.,0
399,Dana Solutions is an application of artificial intelligence and machine learning to in vitro cell-based assays.,0
1709,Battleface is a full-stack global travel insurance company enabling customers and partners to easily select custom-built products and services that perfectly fit their needs. ,1
1658,"Finity Group, LLC is a privately owned and truly independent financial services firm, providing objective, situation specific recommendations to individuals, businesses and the medical community. As an independent firm without any proprietary relationship to insurance companies or investment related products, Finity is able to delve into each clients situation to produce a plan specific to their unique goals.",1
935,"The Bank of England serves as the central bank of the United Kingdom. It operates the real time gross settlement system through which payments relating to the United Kingdom payments and securities settlement systems are settled, maintaining monetary and financial stability as well as the note issue. It also offers banking services to the government and other customers, principally central banks, and other financial institutions. The Bank of England acts as the agent for HM Treasury in managing the United Kingdom's foreign currency assets and gold reserves, and its foreign currency liabilities; and promotes the case for price stability and understanding of the current framework through the media of publications, speeches, and education programs. It also sets the bank's official rate, the primary instrument of monetary policy; deals in the foreign exchange market; maintains the stability of the financial system by monitoring and analyzing the behavior of participants in the financial system, and the financial and economic environment; and offers technical assistance and advice to other central banks, through its center for Central Banking Studies. The company was founded in 1694 and is headquartered in London, the United Kingdom. It is the second oldest central bank in the world.",1
1271,"We have reinvented the expense workflow from the ground up. With happay’s business expense card and mobile app, your employees can report expenses automatically, in seconds, on the go. For management, you have visibility and control into how and where your money is spent, in real time, through web and mobile. For accountants, you can reconcile expense reports, attached with digitised receipts in minutes. ",1
1544,"Zhongke Fanyu is a cross-lingual information retrieval service provider. Relying on the deep accumulation of artificial intelligence, machine translation and natural language processing in the Institute of Automation of the Chinese Academy of Sciences, it provides cross-language and cross-domain research, and provides machine translation systems, multilingual information analysis and Handling services and solutions. Its multilingual machine translation and multilingual information analysis and processing systems have been widely used in many fields such as government, public security, military, aviation, science and technology, and business.",0
323,"Wealthfront is another online financial advisor with similar services to Betterment, but with a focus on tax-efficient investing.",1
1104,"Renovare Fuels are a company that designs, manufactures and markets a new technology for converting biogas into liquid fuel. We are able to tune our process parameters to produce either diesel or Jet A1. The chemical and physical properties of our fuels are virtually identical to their fossil fuel derived analogues, thus allowing our fuel to be used as a direct replacement without the need for engine design modifications.The innovation behind our technology lies in synergistically combining two transformative catalyst technologies with advanced process engineering.This allows us to produce middle distillate fuel at greater efficiency and lower cost than any other existing technology.",0
1347,"At SEON, we're fraud fighters. Our products are designed around two core goals: deliver effective risk prevention, and give businesses complete freedom in how they fight fraud. Above all, we build strong relationships with all our clients to share powerful insights on better fraud management, whether you use our lightweight modules or full end-to-end solution: SEON Intelligence Tool: the unique and innovative data enrichment solution. Collect all accessible data points about a customer's digital footprint from open, social sources. Use it as a one-click Chrome plugin or via API to speed up manual reviews and accelerate your risk management process. SEON Sense Platform: our flagship end-to-end solution. Analyze users' online behaviour with velocity rules, software and hardware configuration with device fingerprinting, and enrich data in real-time through email, phone and IP analysis combined with social media profiling. Data feeds into our automated, machine-learning driven system, which uses predictive risk scoring to automate decisioning and speed up manual reviews. All accessible and fully customizable via API, or a stunning GUI with full team management features.",1
1726,"Frockdrop is an online platform that sells designer clothing, handbags, shoes and accessories.",0
1416,"Application Solutions is a full-service integrator of warehouse management systems, RFID systems, managed network and wireless services for manufacturing, warehousing, and distribution operations.",0
1492,"Commercial Insurance Associates is an independent insurance agency, delivering a relationship-driven service model to its clients, while providing clients the guidance needed for true risk mitigation. US based.",1
2214,-,1
224,"Programinn.com is a job platform for mid-to-high-end programmers. Online team development and cloud-based work, for example, enable companies to solve software development and technical employment problems, and provide job opportunities for middle-to-high-end programmers, such as freelance, remote, and part-time work. China's largest online job platform for mid-to-high-end programmers. Using online team development and cloud work, etc., help enterprises solve software development and technical employment problems, and provide stable online job opportunities for mid-to-high-end programmers: freelance work, remote work, part-time work.",0
1,BlueChip offers a suite of financial software products that helps businesses manage their finances more effectively.,1
75,"Cedar is a patient payment and engagement platform for hospitals, health systems, and medical groups that elevate the end-to-end patient experience. The platform leverages advanced data science to customize and simplify the payment experience, resulting in a modern, consumer-friendly way for patients to plan for and pay their bills.",1
1178,"Versured empowers customers to mix and match policies according to the pricing and quality that’s best for them.  Versured also enables Insurance agencies to keep their book, build their business, and scale it nationwide without barriers.  You know, how it should be.",0
621,Avon is not just for women. We have products for men and opportunities for men also. All men need products too and they usually have a woman in their life to shop for too. We also have products for children too. This is a awesome opportunity for EVERYONE.,0
157,"SoFi is a modern finance company that offers student loan refinancing, home mortgages, personal loans, and investing services.",1
2876,Prosur is a food ingredients producer.,0
1322,"ESGeo collects real-time sustainable data from the right stakeholders into a single place, turning them into insightful dashboards, alerts and reports to help you control open risks and opportunities and facilitate a transparent disclosure process.",0
1455,"Address : 651 Main St, Franconia, NH 03580, USA",0
2881,"The evolution in car insurance, a simple and smart way to shop and buy car insurance online. It combine independence, with excellent technology to find the best value products for their customers.",1
1138,"Group holding company Nichirei Corporation is responsible for the Group’s management planning, monitoring, capital procurement, as well as for supporting management by managing organization, so as to maximize the Group’s enterprise value. Nichirei Corporation also manages the Group’s real estate business, to effectively use Group properties and other Group assets.",0
1202,"Small World FS operates across the EU, North America, Africa and Asia, allowing customers to send money to 195 countries worldwide. Services are available online, on any mobiledevice, as well as in-store, and through a global network of independent agent locations.
Small World FS's global network provides a wide range of payment options – from deposits to bank account, to cash pick-up and loading mobile wallets with money or airtime – to make payments to any country, and to any currency. Payments can be collected in under 15 minutes, and bank accounts credited within hours.",1
156,Betterment is an automated investing service that provides goals-based financial planning and invests customer money in a globally diversified portfolio of ETFs.,1
929,We believe in wealth management democratization. We believe that everyone should be able to control their financial life and reach their financial goals. We do that by combining simple-to-use technology with professional personal advice for all financial assets. Our Software-as-a-Service Platform automatically analyzes and plans all types of assetsand enables professional advisors to deliver a data-driven and truly personal wealth management.,1
274,Mei Yuanbang is a learning platform for fine arts education.,0
424,"Coverlease helps derive trends and insights into commercial real estate markets. It provides a clear understanding of risk and reward for lending, valuation, investment, and leasing decisions. The company redefines how the market collects and uses commercial real estate lease data so users can make better business decisions and strengthen financial returns.",0
63,"Premier is a real estate firm that designs, builds, constructs, and develops commercial real estate properties. The firm acquires, develops, and owns real estate and brings an owner’s sensibility to every project. This translates into conscientious financial stewardship that increases the value of every real estate asset, whether it belongs to Premier or to its clients. Premier Development Partners handles every detail of the development process from land acquisition to environmental requirements, from efficient, dynamic building design to quality construction and from securing all approvals to occupancy. It is dedicated to the belief that clients, architects, sub-contractors, and city leaders deserve to be heard, heeded, and informed at every stage of the development process. It was founded in Cleveland, Ohio in 2007.",0
1748,"Address: 285 Central St, #114, Leominster, MA 01453, USA",0
2826,"Positive Energy Ltd was incubated at the Future Economy Studio, Singapore in the early part of 2017 with the goal of Simplifying Renewable Energy Finance. Its mission is to reimagine the energy funding process to accelerate the deployment of renewable energy assets globally. They are providing an asset financing, trading, and management platform that digitizes the transaction workflow making green investments fast, liquid and economically viable for all parties involved. Positive Energy Ltd, through its platform, aims to engage institutional investors in the financing of renewable energy projects to free-up balance sheets of project developers and project finance banks, reduce overall costs, and thereby encourage new investment in the sector. Positive Energy Ltd helps investors and assets portfolio managers to source new vetted investment opportunities related to small to mid-size assets (0,5MW to 75MW) and so help project developers to (re)finance their projects faster and at better conditions.",1
1022,"Get more calls, store visitors, purchases and customers. Show up on Google and Google Maps when people search for the type of products and/or services you offer. Even more, show up at the top and in a way that convinces them to choose you over the competition. Google Ads & SEO Specialist! Proven SEO & Google Ads Strategies that provide actual results!",0
967,"Address: 8433 Glazebrook Ave, Henrico, VA 23228, USA",0
502,"Global Media Systems is a  provider of Web design and development graphic charter, web browsing The visual coherence, given by the graphic charter, also has an impact on ergonomics. they enable the use of the site, hence an intuitive use. they also promote access to information and accustom the user to a repetitive structure during his visit. The graphic charter also makes it possible to maintain a certain uniformity when, in particular, modifying or creating new pages.",0
832,The smart self service applications for restaurants. We help restaurants to offer the best contactless experience to dine in.,0
568,YellowLending is a fintech company that focuses on financial advisory and provides customized loan solutions including residential and commercial loans.,1
2426,Kidzingo is an Indian online store for baby product retailing launched in the year 2015.,0
2736,"Falcon valley group is an honor, independent public relations, and strategic communication firm dedicated to helping you achieve your goals and objectives in the age of the internet. They listen, learn, design, and implement a custom-designed communication plan that meets your goals — on time and within budget. They offer strategic planning, content development, crisis communication, community relations, reputation administration, website content production and management, speechwriting, scriptwriting, newsletters, brochures, mailers, booklets, newspapers, and annual reports, among other services. Event management, publishing, and direct marketing advice.",0
2893,Ncontracts is a web-based contract and vendor management software and service that provides the foundation for the companies to optimize contract data and maximize profits.,1
1240,Cedar Blind is a family owned company with 10 year experience. We are the preferred supplier for many domestic and commercial clients because of our knowledge and experience in the industry. specialising in providing you with the highest quality Blinds  to suit your home. We pride ourselves on giving you only the very best quality and service to ensure that you get exactly the right look and feel for your home.,0
700,"The company's application helps to merge the bank accounts with their application which is SSL secured and rewards cashback whenever a purchase is made using a bank card or a restaurant voucher, revitalizes the activity of shops, restores purchasing power, and accelerates the digital transformation of shops, enabling users to earn up to 30 percent of their transaction amount and participate in the revitalization of businesses.",1
679,"Guides, Tips and Resources",0
554,Imaginecare is a self-care support that helps patients with long-term health challenges to a better life. Imaginecare consists of a technical platform supplemented with a range of services and analysis tools that together offer a complete solution for healthcare.,0
294,"Trove allows the user to curate articles, books, music, videos, and more, all in one place by collecting content from almost any app or website. The company is based in Burlington, Vermont.",0
467,Funding Circle is a peer-to-peer lending platform that connects borrowers with investors to get funding for small businesses.,1
896,"PayNearMe is a provider of web and mobile-based cash payments platform designed to facilitate online purchases and bill payments. The company's platform helps users to pay with cash for a range of goods and services from companies in e-commerce, property management, consumer finance, and transportation, enabling businesses, governmentagencies, and retail stores to digitize their cash collection process, reduce the headache of traditional cash and money order acceptance.",1
2809,Gold X Mining Corp. is a Canadian-listed gold mining company efficiently and responsibly advancing the largest undeveloped gold project in South America held by a junior. Its Toroparu project in Guyana has 7.4 million ounces of Measured and Indicated gold and 3.2 million ounces Inferred. Gold X is listed on the TSX Venture under the symbol “GLDX” and on the OTCQX under the symbol “SSPXD”,0
2748,"Pressjitsu was founded in 2014 by speed-obsessed WordPress developers. Fast forward 7 years, we're now using premium AWS cloud servers together with Cloudfront CDN to provide the fastest and most reliable hosting experience for medium to high traffic WordPress websites.",0
740,"From designing payroll productivity systems to implementing Food and Beverage COGS (cost of goods sold) tracking systems, we know where the hidden costs lie which can be removed in order to to drive more profit to the bottom line without adversely affecting guest service.",0
2352,"Address: 98 Catalpa Lane, Campbell Hill, IL 62916, USA",0
2891,ComplianceEase is a leading provider of risk management solutions to the financial services industry.,1
1758,"Web platform and app-based D2C micro-investment platform, allowing users to investment as little as $0.01 increments into personal brokerage accounts, retirement accounts, etc.",1
374,"Worldline is a global leader in secure payments and trusted transactions. We are at the forefront of the digital revolution that is shaping new ways of paying, living, doing business and building relationships that pass on trust along the entire payments value chain, enabling sustainable economic growth.",1
422,"CreditKarma provides users with tools to help them understand and improve their credit scores Coinbase is the easiest place to buy, sell, and manage your cryptocurrency portfolio 8 .BlockFi offers cryptoasset-backed loans and interest-bearing deposit accounts 9 .SoFi Money is a modern checking account with no monthly fees 10 .TransferWise is an international money transfer service that promises lower fees than traditional banks",1
2875,"Full Service Domain Name Brokerage Firm with specialties in buy-side, stealth domain name acquisitions. Domain Name valuations and sell side domain name brokerage. We help our clients secure the perfect domain name for their brand. Looking to acquire a domain name owned by someone else? We handle the entire transaction and make sure not to leave your money on the table.",0
80,"Qinxue.com is an online self-study platform for software learning, vocational skills, and various technical courses. Qinxue.com provides free online quality course selection and registration services for people who are eager to learn and provides free information publicity and promotion platform for students. They include courses such as graphic design, video post-production, mechanical and interior designing.",0
551,"220 Is the Worlds First Digital Private Bank for a new generation of Wealth, Catering to an exclusive set of millennials representing $24 Trillion Globally.",1
587,Acorns is a micro-investing app that allows users to invest their spare change from everyday purchases into a diversified portfolio of stocks and bonds.,1
448,"Pitch Hive help entrepreneurs and early-stage companies raise Pre-Seed, Seed and Series A funding. Pitch Deck Consulting & Practice: - Online Pitch Practice - Pitch Deck Content Advice  - Pitch Deck Resources - Pitch Deck Proofreading  Investor & Entrepreneur Matching: - We match early-stage companies with investors in a curated way to more efficiently manage deal flow",0
1386,Contracker is a software program designed to help estimate small and medium projects in minutes. It also provides reliable communication and transparency during the building process.,0
187,"Indexa Capital is an automated investment service that offers highly diversified, indexed and low cost investment portfolios providing greater potential returns due to automatization and lower commissions. Indexa Capital charges a VAT included management fee between 0.45% and 0.10% per annum. The company was founded in November 2015 and is based inMadrid, Spain.",1
2889,We are building a platform which allows skilled professionals from around the World easily migrate to countries where their skills are in demand.,0
2792,"With hundreds of different lenders to choose from, CommLoan brings one-stop shopping and unprecedented access to the capital markets.",1
384,"Thepount offers a way to send files around the world through its platform. Users send files through its platform. The point was founded in 2019 and is based in London, United Kingdom The company's mission is to enable the effortless transfer of ideas from one creative mind to many.",0
1587,"Address: 800 College Ave, Santa Rosa, CA 95404, USA",0
192,CIA is an independent insurance agency that delivers insurance and risk management solutions to a diverse set of customers throughout Michigan.,0
944,"We make diagnostics of internal organ diseases fast, easy, cheap, and accurate for people and animals. We have created an adaptive AI algorithm that fits for animals and humans dignostics. It analyzes auscultation and percussion sounds recorded by any digital stethoscope and can diagnostics internal organ diseases of the respiratory system, the cardiovascular system, and the digestive system.",0
2549,"Fame Glory Production is a full service creative and production agency. Fame Glory Production provides front-to-end production and creative solutions across a broad range of industries. Fame Glory Production  works includes films, music, TV and advertising for both local and global clients.",0
142,"Gigforce is a staffing platform that provides staffing solutions in gig models or employee off-roll models. The company enables digital sign-up to gig workers on its app for documentation, choosing gigs, and getting paid. It also offers opportunities to learn and earn, with multiple careers, and increase their network to help users to find jobs as per their own area of expertise. Gigforce was founded in June 2020 by Anirudh Syal, Chirag Mittal, and Parag Modi.",0
2632,LeadScoreApp is a sales and marketing platform that enables its customers to generate more hot and qualified leads. LeadScoreApp triggers emails and activates sales processes based on visitor behavior on their customers' websites and enables LeadScoreApps customers to monitor the digital footprint of any leads on their website. The system identifies buying signals and calculates priority lists of hot leads that can be used by sales teams to easily drive more sales with perfect timing on outreach and follow up.,0
693,"Digital Insight (formerly Intuit Financial Services, when it was previously acquired by Intuit) is a provider of online banking services to mid-market banks and credit unions in the United States.",1
546,"Ashland Hard Seltzer creates craft hard seltzer with all-natural, organic ingredients, and alkaline water for outstanding taste and purity. The company uses natural flavors like blackberry lemonade, pineapple, tangerine, and lime are craft brewed with alkaline water which supports in neutralizing excessive acidity and toxins in the body while also being ultra-hydrating. Organic ingredients brewed with this unique water chemistry is its distinct recipe for an incredible tasting hard seltzer.",0
2574,"Swimming Pool Loan helps pool buyers find the financing they need to build their dream backyard. Our decision engine has helped over 20,000 homeowners find the right lender to finance their inground swimming pool and we’re just getting started! Find out why SwimmingPoolLoan.com is the easiest way to find a lender and the best rates on the pool loan you’ve been searching for. Swimming Pool Loan is directly networked with over 100 different lenders and credit unions around the nation. Our instant decision engine checks a consumer profile and finds the best lending options available without performing a credit check or hard credit pull. We are able to instantly refer pool buyers to the best financing option for their particular situation. SwimmingPoolLoan is also directly linked with PoolContractor so we are able to instantly refer pool buyers a lender as well as a pool builder to help them create their dream backyard. Our web portal also provides consumers with information and a deep knowledge base that educates them on all the pool financing options available.",0
2479,"Climb is a FinTech scale-up, which specializes in helping individuals achieve their financial goals by optimizing their taxes and investments. Climb has an hybrid approach, combining technology and financial advisors' support. ",1
14,Q1 2022 Founders not found,0
154,Acorns is a micro-investing app that allows users to invest spare change from everyday purchases into a diversified portfolio of stocks and bonds.,1
2743,"ClearMash is a customer experience empowerment platform based on artificial intelligence technologies that empower agents and customers with relevant knowledge to ensure optimal customer interactions on every channel. Using a suite of AI algorithms, data modeling capabilities, and visualization tools, ClearMash ensures that agents and customers will get the relevant knowledge they need, understand that knowledge, and act by it.",1
18,"Robinhood is a commission-free stock trading platform that offers investors the ability to trade stocks, ETFs, and options..",1
2385,"Safilo Group is a manufacturer of sunglasses and optical frames. The company's products are sold through the Carrera, Smith, Polaroid, and Oxydo brands, as well as a range of other licensed brands. It was founded in 1934 and is headquartered in Padova, Veneto.",0
2547,"Merri is revolutionizing how events are designed, planned, and booked in the digital age. We are streamlining the historically non-digital live events industry through a first-of-its-kind interactive 3D platform. Our integrated workflows and collaboration tools bring venues, vendors, and event hosts onto a single platform, creating the only centralized platform for information, processes, and tools across the entire events ecosystem. We believe that planning an event shouldn't take away from the joy of whatever it is you're celebrating. Whether a wedding, non-profit gala, annual meeting, or a brand activation, Merri streamlines all of the decision making that goes into planning a flawless event — from the venue, to the menu.",0
1131,"Cavalry Sanitizers provides a diverse marketplace of sanitizing solutions for personal use and surface cleaning.  It was founded in 2020 and is headquartered in New Orleans, Louisiana.",0
1844,Qdama is a fresh agricultural product operation service provider that focuses on the operation of the fresh meat market.,0
563,Fintech companies that offer consulting services on financial planning and investing.,1
2917,DX Compliance helps protect Banks & FinTechs against $Multi-Billion fines by changing the way that AML teams work,1
2484,On The Map Philippines offers free user-to-user classified ads in all major cities in the Philippines. You can post an ad at no cost and browse through the huge selection of free classifieds!,0
351,Provider of compliance and tax solutions for the telecom industry. The company constantly researches the latest laws and trends in the telecom regulatory space and offers outsourcing of reporting and billing requirements to clients.,1
506, loan match service that can connect you to dozens of lenders nationwide for payday or emergency loans,1
2813,"Address: 3901 N Blvd, Tampa, FL 33603, USA",0
483,"Personal Capital is a free app that gives users insights into their finances, including net worth, investment portfolios, and more.",1
1367,"Plush Funding offers relief options for people with all credit types and ratings. It has helped thousands of clients obtain personal loans for these situations and more. They provide a range of business loans and personal loans that they can use to buy machines, purchase supplies, or consolidate existing personal debt. It offers services likebusiness loans, credit cards, leasing, business loans, and more.",1
128,"Tappit enables cashless payments, creating better customer experiences and providing rich insights – bringing your fans closer to the club and the action.",1
2813,"Intellect is a modern-day mental health company with a mission to make mental healthcare & wellbeing support accessible for everyone.  Today, Intellect is the largest and fastest growing mental health tech company in Asia, and serves over 3 million members and leading organisations globally through their mental health platform. Intellect was also selected as one of Google's Best Apps of 2020.  Intellect is backed by leading investors including Insignia Ventures Partners, Y Combinator, HOF Capital, Headline, East Ventures, MS&AD Ventures, as well as an extensive list of family offices, big tech executives & renowned angel investors.",1
848,Veterans United Network is a leader in the VA Loan industry,1
536,"ELE Optics is an information technology company that specializes in providing cloud services. It enables its users to use the cloud to build beautiful reports full of interactive charts and a team discussion. It is headquartered in Tucson, Arizona.",0
364,Enzyre is a developer of diagnostic technology.,0
